data type,feature vector,succcess,weights,ratios,#weights,target,end score,time
f sized_list,min_len,True,"(100, 0)","[1.0]",2,"5.000",-5.000,0.003
f sized_list,nil,False,"(10, 90)","[0.1]",2,"0.100",0.006,0.003
f sized_list,uni_len,False,"(25, 75)","[0.25]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",622.814,0.001
f sized_list,min_nil,True,"(0, 100)","[0.0]",2,"0.100",-0.100,0.003
f sized_list,len,False,"(10, 90)","[0.1]",2,"5.000",0.925,0.003
f depth_bst,min_height,True,"(100, 0)","[1.0]",2,"3.000",-3.000,0.008
f depth_bst,h_bal,False,"(70, 30)","[0.7]",2,"0.300",0.022,0.008
f depth_bst,stick,False,"(50, 50)","[0.5]",2,"0.500",0.164,0.007
f depth_bst,stick,False,"(40, 60)","[0.4]",2,"0.800",0.477,0.007
f depth_bst,h_bal,False,"(20, 80)","[0.2]",2,"2.000",0.704,0.008
f depth_bst,height,True,"(0, 100)","[0.0]",2,"5.000",0.000,0.009
f depth_bst,min_stick,True,"(100, 0)","[1.0]",2,"0.100",-0.100,0.007
f depth_bst,stick,False,"(90, 9)","[0.909]",2,"0.100",0.003,0.007
f depth_bst,uni_height,False,"(40, 60)","[0.4]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",772.001,0.008
f depth_tree,h_bal,False,"(40, 60)","[0.4]",2,"1.500",0.328,0.010
f depth_tree,min_height,True,"(100, 0)","[1.0]",2,"3.000",-3.000,0.010
f depth_tree,h_bal,False,"(70, 30)","[0.7]",2,"0.300",0.031,0.010
f depth_tree,height,False,"(40, 60)","[0.4]",2,"3.000",0.625,0.010
f depth_tree,stick,False,"(50, 50)","[0.5]",2,"0.500",0.161,0.009
f depth_tree,stick,False,"(50, 50)","[0.5]",2,"0.800",0.469,0.008
f depth_tree,h_bal,False,"(20, 80)","[0.2]",2,"2.000",0.851,0.009
f depth_tree,min_stick,True,"(0, 100)","[0.0]",2,"0.100",-0.100,0.008
f depth_tree,stick,False,"(10, 90)","[0.1]",2,"0.100",0.004,0.008
f depth_tree,uni_height,False,"(50, 50)","[0.5]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",866.093,0.009
f even_list,min_len,True,"(100, 0)","[1.0]",2,"5.000",-4.000,0.003
f even_list,nil,False,"(0, 100)","[0.0]",2,"0.100",0.100,0.004
f even_list,min_nil,True,"(0, 100)","[0.0]",2,"0.100",-0.100,0.003
f even_list,uni_len,False,"(20, 80)","[0.2]",2,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",324.406,0.004
f even_list,len,False,"(20, 80)","[0.2]",2,"5.000",0.180,0.004
f rb_tree,black,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.200",0.133,0.088
f rb_tree,min_black,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.200",0.133,0.086
f rb_tree,black,False,"(20, 80, 70, 30)","[0.2, 0.7]",4,"0.400",0.001,0.089
f rb_tree,uni_height,False,"(80, 19, 20, 80)","[0.808, 0.2]",4,"(2.000, 3.000, 4.000)",118.230,0.097
f rb_tree,black,False,"(80, 19, 100, 0)","[0.808, 1.0]",4,"0.600",0.003,0.090
f rb_tree,black,True,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.333",0.000,0.091
p sized_list,min_len,True,"(100, 0, 100, 0)","[1.0, 1.0]",4,"5.000",-5.000,0.026
p sized_list,nil,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.100",0.008,0.026
p sized_list,uni_len,True,"(0, 100, 100, 0)","[0.0, 1.0]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",-18.266,0.026
p sized_list,min_nil,True,"(0, 100, 0, 100)","[0.0, 0.0]",4,"0.100",-0.100,0.025
p sized_list,len,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"5.000",0.013,0.025
p depth_bst,min_height,True,"(100, 0, 100, 0)","[1.0, 1.0]",4,"3.000",-3.000,0.071
p depth_bst,h_bal,False,"(60, 40, 100, 0)","[0.6, 1.0]",4,"0.300",0.004,0.074
p depth_bst,stick,False,"(40, 60, 70, 30)","[0.4, 0.7]",4,"0.500",0.126,0.063
p depth_bst,stick,False,"(40, 60, 90, 9)","[0.4, 0.909]",4,"0.800",0.417,0.064
p depth_bst,h_bal,False,"(10, 90, 70, 30)","[0.1, 0.7]",4,"2.000",0.435,0.070
p depth_bst,height,True,"(0, 100, 0, 100)","[0.0, 0.0]",4,"5.000",0.000,0.074
p depth_bst,min_stick,True,"(100, 0, 100, 0)","[1.0, 1.0]",4,"0.100",-0.100,0.066
p depth_bst,stick,False,"(90, 9, 80, 19)","[0.909, 0.808]",4,"0.100",0.001,0.063
p depth_bst,uni_height,False,"(20, 80, 100, 0)","[0.2, 1.0]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",409.037,0.072
p depth_tree,h_bal,False,"(10, 90, 90, 9)","[0.1, 0.909]",4,"1.500",0.114,0.081
p depth_tree,min_height,True,"(100, 0, 100, 0)","[1.0, 1.0]",4,"3.000",-3.000,0.078
p depth_tree,h_bal,False,"(60, 40, 100, 0)","[0.6, 1.0]",4,"0.300",0.008,0.081
p depth_tree,height,False,"(20, 80, 70, 30)","[0.2, 0.7]",4,"3.000",0.084,0.082
p depth_tree,stick,False,"(40, 60, 70, 30)","[0.4, 0.7]",4,"0.500",0.137,0.071
p depth_tree,stick,False,"(40, 60, 80, 19)","[0.4, 0.808]",4,"0.800",0.436,0.071
p depth_tree,h_bal,False,"(10, 90, 100, 0)","[0.1, 1.0]",4,"2.000",0.601,0.080
p depth_tree,min_stick,True,"(0, 100, 0, 100)","[0.0, 0.0]",4,"0.100",-0.100,0.071
p depth_tree,stick,False,"(100, 0, 40, 60)","[1.0, 0.4]",4,"0.100",0.003,0.070
p depth_tree,uni_height,False,"(20, 80, 100, 0)","[0.2, 1.0]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",642.629,0.080
p even_list,min_len,True,"(100, 0, 100, 0)","[1.0, 1.0]",4,"5.000",-4.000,0.031
p even_list,nil,False,"(0, 100, 0, 100)","[0.0, 0.0]",4,"0.100",0.100,0.031
p even_list,min_nil,True,"(0, 100, 0, 100)","[0.0, 0.0]",4,"0.100",-0.100,0.029
p even_list,uni_len,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",3.338,0.031
p even_list,len,False,"(10, 90, 70, 30)","[0.1, 0.7]",4,"5.000",0.008,0.030
p sized_list_1_const,min_len,True,"(100, 0, 1)","[0.1, 0.7]",3,"5.000",-5.000,0.019
p sized_list_1_const,nil,False,"(10, 90, 1)","[0.1, 0.7]",3,"0.100",0.003,0.020
p sized_list_1_const,uni_len,False,"(0, 100, 100)","[0.1, 0.7]",3,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",61.132,0.021
p sized_list_1_const,min_nil,True,"(0, 100, 1)","[0.1, 0.7]",3,"0.100",-0.096,0.018
p sized_list_1_const,len,False,"(0, 100, 100)","[0.1, 0.7]",3,"5.000",0.543,0.019
u sized_list,min_len,True,"(100, 0, 0, 100)","[1.0, 0.0]",2,"5.000",-5.000,0.009
u sized_list,nil,False,"(10, 90, 80, 19)","[0.1, 0.808]",2,"0.100",0.001,0.009
u sized_list,uni_len,False,"(20, 80, 20, 80)","[0.2, 0.2]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",257.966,0.009
u sized_list,min_nil,True,"(0, 100, 0, 100)","[0.0, 0.0]",2,"0.100",-0.100,0.009
u sized_list,len,False,"(10, 90, 20, 80)","[0.1, 0.2]",2,"5.000",0.412,0.009
u depth_bst,min_height,True,"(100, 0, 0, 100, 0, 100)","[1.0, 0.0, 0.0]",6,"3.000",-3.000,0.222
u depth_bst,h_bal,False,"(70, 30, 90, 9, 40, 60)","[0.7, 0.909, 0.4]",6,"0.300",0.001,0.236
u depth_bst,stick,True,"(40, 60, 70, 30, 70, 30)","[0.4, 0.7, 0.7]",6,"0.500",0.000,0.209
u depth_bst,stick,False,"(10, 90, 80, 19, 90, 9)","[0.1, 0.808, 0.909]",6,"0.800",0.002,0.209
u depth_bst,h_bal,False,"(20, 80, 0, 100, 60, 40)","[0.2, 0.0, 0.6]",6,"2.000",0.002,0.239
u depth_bst,height,True,"(0, 100, 0, 100, 0, 100)","[0.0, 0.0, 0.0]",6,"5.000",0.000,0.231
u depth_bst,min_stick,True,"(100, 0, 0, 100, 0, 100)","[1.0, 0.0, 0.0]",6,"0.100",-0.100,0.210
u depth_bst,stick,True,"(90, 9, 80, 19, 90, 9)","[0.909, 0.808, 0.909]",6,"0.100",0.000,0.210
u depth_bst,uni_height,False,"(20, 80, 90, 9, 40, 60)","[0.2, 0.909, 0.4]",6,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",385.661,0.238
u depth_tree,h_bal,False,"(0, 100, 90, 9, 60, 40)","[0.0, 0.909, 0.6]",6,"1.500",0.002,0.271
u depth_tree,min_height,True,"(100, 0, 0, 100, 0, 100)","[1.0, 0.0, 0.0]",6,"3.000",-3.000,0.247
u depth_tree,h_bal,False,"(70, 30, 60, 40, 80, 19)","[0.7, 0.6, 0.808]",6,"0.300",0.001,0.250
u depth_tree,height,False,"(40, 60, 10, 90, 0, 100)","[0.4, 0.1, 0.0]",6,"3.000",0.015,0.254
u depth_tree,stick,True,"(0, 100, 0, 100, 100, 0)","[0.0, 0.0, 1.0]",6,"0.500",0.000,0.219
u depth_tree,stick,False,"(0, 100, 100, 0, 60, 40)","[0.0, 1.0, 0.6]",6,"0.800",0.001,0.218
u depth_tree,h_bal,False,"(0, 100, 50, 50, 70, 30)","[0.0, 0.5, 0.7]",6,"2.000",0.002,0.259
u depth_tree,min_stick,True,"(0, 100, 0, 100, 0, 100)","[0.0, 0.0, 0.0]",6,"0.100",-0.100,0.218
u depth_tree,stick,True,"(90, 9, 80, 19, 100, 0)","[0.909, 0.808, 1.0]",6,"0.100",0.000,0.235
u depth_tree,uni_height,False,"(40, 60, 90, 9, 40, 60)","[0.4, 0.909, 0.4]",6,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",510.113,0.260
u even_list,min_len,True,"(100, 0, 0, 100)","[1.0, 0.0]",2,"5.000",-4.000,0.010
u even_list,nil,False,"(0, 100, 0, 100)","[0.0, 0.0]",2,"0.100",0.100,0.011
u even_list,min_nil,True,"(0, 100, 0, 100)","[0.0, 0.0]",2,"0.100",-0.100,0.010
u even_list,uni_len,False,"(20, 80, 20, 80)","[0.2, 0.2]",2,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",304.342,0.010
u even_list,len,False,"(0, 100, 40, 60)","[0.0, 0.4]",2,"5.000",0.067,0.010
u rb_tree,len,False,"(0, 100, 40, 60)","[0.0, 0.4]",20,"5.000",0.067,0.010
